"date","value"
"2017/12/17","20089"
"2017/12/20","17935"
"2017/12/21","17568"
"2017/12/25","14593"
"2017/12/26","16461"
"2017/12/27","16931"
"2018/1/1","14112"
"2018/1/2","15445"
"2018/1/6","17712"
"2018/1/7","17580"
"2018/1/8","16538"
"2018/1/12","14230"
"2018/1/13","14660"
"2018/1/14","14512"
"2018/1/17","11678"
"2018/1/19","11993"
"2018/1/20","13103"
"2018/1/23","11378"
"2018/1/25","11786"
"2018/1/26","11657"
"2018/1/28","12040"
"2018/1/31","10382"
"2018/2/1","10289"
"2018/2/6","7851"
"2018/2/7","8509"
"2018/2/10","9123"
"2018/2/12","8986"
"2018/2/13","8958"
"2018/2/18","11350"
"2018/2/19","11274"
"2018/2/20","11959"
"2018/2/23","10487"
"2018/2/24","10597"
"2018/2/25","9923"
"2018/3/2","11189"
"2018/3/3","11528"
"2018/3/5","11704"
"2018/3/8","10147"
"2018/3/9","9466"
"2018/3/12","9938"
"2018/3/14","9356"
"2018/3/15","8428"
"2018/3/18","8246"
"2018/3/20","9051"
"2018/3/21","9177"
"2018/3/26","8530"
"2018/3/27","8233"
"2018/4/1","7061"
